symbol,name,name_en,sector,sector_en,pe,pb,roe,dividend_yield,debt_equity,net_margin,current_ratio,shariah_debt_ratio,shariah_compliant,revenue_b,net_income_b,total_debt_b,total_assets_b
8012,جزيرة تكافل,Jazira Takaful,التأمين,Insurance,18.0,2.0,11.0,2.5,0.25,5.5,1.30,7.0,True,0.85,0.05,0.02,0.35
8020,ملاذ للتأمين,Malath Insurance,التأمين,Insurance,12.0,1.5,12.5,3.5,0.32,4.5,1.18,8.5,True,2.2,0.10,0.25,2.8
8030,ميدغلف,MedGulf,التأمين,Insurance,10.0,1.8,18.0,4.0,0.28,6.0,1.20,7.5,True,3.5,0.21,0.35,4.5
8040,أليانز السعودية,Allianz Saudi,التأمين,Insurance,15.0,2.2,14.5,3.0,0.30,5.8,1.15,8.0,True,2.8,0.16,0.28,3.5
8050,سلامة,Salama,التأمين,Insurance,0,1.2,-5.0,0.0,0.45,-8.0,0.92,12.0,True,1.5,-0.12,0.22,1.8
8060,ولاء,Walaa,التأمين,Insurance,11.0,2.0,18.2,5.0,0.28,8.0,1.22,7.5,True,4.5,0.36,0.48,6.2
8070,الأهلية,Arabian Shield,التأمين,Insurance,16.0,1.8,11.2,2.5,0.32,5.0,1.12,8.5,True,1.8,0.09,0.18,2.1
8100,ساب تكافل,SABB Takaful,التأمين,Insurance,20.0,2.8,14.0,2.0,0.22,8.0,1.28,6.0,True,0.72,0.06,0.02,0.38
8120,الراجحي للتأمين,Al Rajhi Takaful,التأمين,Insurance,22.0,3.5,16.0,1.5,0.18,7.5,1.30,5.0,True,2.5,0.19,0.12,2.5
8150,أسيج,ACIG,التأمين,Insurance,14.0,1.6,11.5,3.5,0.28,6.5,1.18,7.5,True,1.2,0.08,0.10,1.3
8160,الأهلي تكافل,Al Ahli Takaful,التأمين,Insurance,18.0,2.0,11.0,2.0,0.25,5.0,1.22,6.5,True,0.55,0.03,0.02,0.32
8170,الاتحاد للتأمين,SAICC,التأمين,Insurance,0,1.0,-8.0,0.0,0.42,-12.0,0.85,11.0,True,0.45,-0.05,0.06,0.55
8180,الصقر للتأمين,Al Sagr Insurance,التأمين,Insurance,12.5,1.5,12.0,4.0,0.30,5.5,1.15,8.0,True,1.0,0.06,0.10,1.2
8190,المتحدة للتأمين,UCA,التأمين,Insurance,15.0,1.8,12.0,3.0,0.28,6.0,1.18,7.5,True,0.85,0.05,0.08,1.0
8200,الدرع العربي,Arabian Shield Coop,التأمين,Insurance,0,1.1,-6.0,0.0,0.38,-10.0,0.90,10.0,True,0.55,-0.06,0.06,0.62
8230,الوطنية للتأمين,Wataniya Insurance,التأمين,Insurance,14.0,1.6,11.5,3.5,0.30,5.8,1.15,8.0,True,1.5,0.09,0.15,1.8
8240,تأمين,Amana Insurance,التأمين,Insurance,16.0,1.4,8.8,2.5,0.35,4.5,1.10,9.5,True,0.65,0.03,0.05,0.52
8250,جي آي جي,GIG Saudi,التأمين,Insurance,11.0,2.2,20.0,4.5,0.25,8.5,1.25,6.5,True,3.2,0.27,0.28,4.2
8260,الخليجية العامة,Gulf General,التأمين,Insurance,13.0,1.7,13.0,3.5,0.28,6.0,1.18,7.5,True,1.2,0.07,0.10,1.3
8270,بروج,Buruj,التأمين,Insurance,18.0,2.5,14.0,2.0,0.22,7.0,1.28,6.0,True,0.85,0.06,0.05,0.78
8280,العربية السعودية,SAICO,التأمين,Insurance,10.5,1.4,13.5,4.5,0.30,5.5,1.12,8.0,True,1.8,0.10,0.15,1.85
8300,الوطنية,Wataniya,التأمين,Insurance,11.5,1.6,14.0,4.0,0.28,6.5,1.20,7.5,True,2.2,0.14,0.20,2.65
8310,أمانة,Amana Coop,التأمين,Insurance,22.0,2.0,9.0,1.5,0.32,4.5,1.08,8.5,True,0.55,0.02,0.02,0.22
8311,عناية,Enaya,التأمين,Insurance,0,1.0,-5.5,0.0,0.38,-10.0,0.88,10.0,True,0.28,-0.03,0.03,0.32
9505,الحكمة,Al Hikma,الأدوية,Pharma,24.0,3.5,14.5,2.0,0.32,15.0,1.45,9.0,True,0.55,0.08,0.06,0.65
9506,تداوي,Tadawi,المعدات الصحية,Healthcare,35.0,5.0,14.3,0.5,0.48,12.0,1.02,14.0,True,1.2,0.14,0.22,1.55
9510,الدوائية,SPIMACO,الأدوية,Pharma,18.0,2.5,14.0,3.0,0.42,12.0,1.35,12.0,True,3.5,0.42,0.8,6.5
9511,فاراب,Farab,الأدوية,Pharma,22.0,3.0,13.5,2.5,0.28,18.0,1.55,7.5,True,0.95,0.17,0.08,1.1
9512,أفالون,Avalon,الأدوية,Pharma,30.0,4.5,15.0,1.0,0.35,14.0,1.30,10.0,True,0.65,0.10,0.08,0.82
9513,دالة,Dalah,المعدات الصحية,Healthcare,25.0,3.8,15.2,1.5,0.52,10.0,0.95,15.5,True,1.8,0.18,0.35,2.2
9514,سينومي ريتيل,Cenomi Retail,التجزئة,Retail,0,2.0,-8.5,0.0,1.85,-12.0,0.58,40.0,False,8.2,-0.98,6.8,17
9515,سينومي سنترز,Cenomi Centers,إدارة وتطوير العقارات,Real Estate,25.0,2.8,11.2,2.0,1.12,15.0,0.72,28.0,True,4.5,0.68,5.5,19.5
9516,مجموعة عبدالمحسن الحكير,ALHOKAIR Group,الفنادق والسياحة,Hotels & Tourism,0,1.5,-10.0,0.0,1.35,-22.0,0.55,35.0,False,3.8,-0.84,4.5,12.8
9517,فقيه الطبية,Fakeeh Care,المعدات الصحية,Healthcare,28.0,4.2,15.0,1.2,0.48,14.0,1.08,13.5,True,4.5,0.63,1.8,13.5
9518,ميرا,Mira,الخدمات التجارية,Commercial Services,18.0,2.5,14.0,3.0,0.35,10.0,1.30,9.5,True,0.55,0.08,0.06,0.62
9519,سليمان الحبيب,Dr Sulaiman Al Habib,المعدات الصحية,Healthcare,38.0,12.5,33.0,1.2,0.42,20.0,1.15,11.0,True,12.5,2.50,3.5,32
9520,مداد,Midad,البرمجيات والخدمات,Software & Services,28.0,7.0,25.0,1.0,0.20,20.0,1.65,5.5,True,0.48,0.10,0.03,0.52
9521,نايس ون,Nice One,التجزئة,Retail,45.0,15.0,33.5,0.0,0.25,8.0,1.12,7.0,True,2.8,0.22,0.25,3.5
9522,الطيار,Al Tayyar Travel,الفنادق والسياحة,Hotels & Tourism,18.0,3.0,16.8,3.0,0.45,10.0,1.05,12.5,True,3.2,0.32,0.65,5.2
9523,عِلم,Elm,البرمجيات والخدمات,Software & Services,30.0,10.0,33.5,2.5,0.15,25.0,1.75,4.0,True,4.5,1.12,0.25,6.2
9524,المتحدة الدولية,UGC,الإعلام والترفيه,Media & Entertainment,20.0,3.5,17.5,2.0,0.38,12.0,1.20,10.5,True,1.8,0.22,0.25,2.4
9525,أكوا باور,ACWA Power,المرافق العامة,Utilities,85.0,5.5,6.5,0.5,2.85,5.0,0.82,42.0,False,18.5,0.95,52,125
9526,شركة المياه الوطنية,NWC,المرافق العامة,Utilities,25.0,1.8,7.2,2.5,0.65,12.0,0.88,18.0,True,8.5,1.02,5.5,30
9527,ضيافة,Diyafa,الفنادق والسياحة,Hotels & Tourism,22.0,2.2,10.0,2.0,0.48,8.5,0.95,14.0,True,0.85,0.07,0.12,0.85
9528,الشاشات,Shahid,الإعلام والترفيه,Media & Entertainment,0,3.5,-18.0,0.0,0.55,-40.0,0.78,16.0,True,0.42,-0.17,0.08,0.52
9529,جبل عمر,Jabal Omar,إدارة وتطوير العقارات,Real Estate,0,0.75,-2.0,0.0,0.95,-5.0,0.55,28.0,True,8.5,-0.17,6.8,24
9530,أرامكو لزيوت الأساس,Luberef 2,الطاقة,Energy,11.5,3.5,30.5,7.0,0.48,17.0,1.30,14.0,True,7.8,1.33,3.2,22
9531,علم الحاسبات,Computer Sciences,البرمجيات والخدمات,Software & Services,25.0,6.0,24.0,2.0,0.22,18.0,1.55,6.0,True,0.75,0.14,0.05,0.72
9532,الخطوط السعودية للتموين,Saudi Catering,الفنادق والسياحة,Hotels & Tourism,22.0,5.0,22.8,3.5,0.30,14.0,1.15,8.5,True,3.8,0.53,0.5,5.8
9533,ميناء,Mena,النقل,Transport,15.0,1.8,12.0,4.0,0.55,15.0,1.20,16.0,True,2.8,0.42,1.2,7.5
9534,نقل,SAL,النقل,Transport,18.0,3.5,19.5,3.0,0.35,12.0,1.08,10.0,True,2.2,0.26,0.35,3.5
9535,بنان,Banan,إدارة وتطوير العقارات,Real Estate,16.0,1.5,9.5,4.0,0.32,22.0,1.55,9.0,True,0.85,0.19,0.10,1.1
9536,رتال,Retal,إدارة وتطوير العقارات,Real Estate,12.0,3.2,26.5,4.5,0.55,15.0,1.25,15.0,True,3.8,0.57,1.5,10
